plasmids	segments
ERR1018232_RNODE_5_length_15204_cov_11.00070	20244
ERR1018239_RNODE_75_length_40065_cov_104.30367	1291
ERR1018239_RNODE_75_length_40065_cov_104.30367	11220
ERR1018239_RNODE_75_length_40065_cov_104.30367	10322
ERR1018239_RNODE_75_length_40065_cov_104.30367	526
ERR1018239_RNODE_75_length_40065_cov_104.30367	5664
ERR1018239_RNODE_75_length_40065_cov_104.30367	4462
ERR1018239_RNODE_75_length_40065_cov_104.30367	13643
ERR1018239_RNODE_75_length_40065_cov_104.30367	4590
ERR1018239_RNODE_75_length_40065_cov_104.30367	5998
ERR1018239_RNODE_75_length_40065_cov_104.30367	12235
ERR1018239_RNODE_75_length_40065_cov_104.30367	6535
ERR1018239_RNODE_75_length_40065_cov_104.30367	12159
ERR1018239_RNODE_75_length_40065_cov_104.30367	2166
ERR1018239_RNODE_75_length_40065_cov_104.30367	2097
ERR1018239_RNODE_75_length_40065_cov_104.30367	1939
ERR1018239_RNODE_75_length_40065_cov_104.30367	4401
ERR1018239_RNODE_75_length_40065_cov_104.30367	9539
ERR1018239_RNODE_75_length_40065_cov_104.30367	2539
ERR1018239_RNODE_75_length_40065_cov_104.30367	3138
ERR1018239_RNODE_75_length_40065_cov_104.30367	700
ERR1018239_RNODE_75_length_40065_cov_104.30367	3638
ERR1018239_RNODE_75_length_40065_cov_104.30367	20773
ERR1018239_RNODE_75_length_40065_cov_104.30367	5020
ERR1018239_RNODE_75_length_40065_cov_104.30367	1897
ERR1018239_RNODE_75_length_40065_cov_104.30367	14431
ERR1018239_RNODE_75_length_40065_cov_104.30367	4185
ERR1018239_RNODE_75_length_40065_cov_104.30367	2239
ERR1018239_RNODE_75_length_40065_cov_104.30367	18299
ERR1018239_RNODE_75_length_40065_cov_104.30367	969
ERR1018239_RNODE_75_length_40065_cov_104.30367	709
ERR1018239_RNODE_75_length_40065_cov_104.30367	2738
ERR1018239_RNODE_75_length_40065_cov_104.30367	4442
ERR1018239_RNODE_75_length_40065_cov_104.30367	8656
ERR1018239_RNODE_75_length_40065_cov_104.30367	15768
ERR1018239_RNODE_75_length_40065_cov_104.30367	15159
ERR1018239_RNODE_75_length_40065_cov_104.30367	7615
ERR1018239_RNODE_75_length_40065_cov_104.30367	2965
ERR1018239_RNODE_75_length_40065_cov_104.30367	19657
ERR1018239_RNODE_75_length_40065_cov_104.30367	534
ERR1018239_RNODE_75_length_40065_cov_104.30367	3670
ERR1018239_RNODE_75_length_40065_cov_104.30367	2268
ERR1018239_RNODE_75_length_40065_cov_104.30367	17687
ERR1018239_RNODE_75_length_40065_cov_104.30367	1587
ERR1018239_RNODE_75_length_40065_cov_104.30367	17997
ERR1018239_RNODE_75_length_40065_cov_104.30367	3620
ERR1018239_RNODE_75_length_40065_cov_104.30367	8456
ERR1018239_RNODE_75_length_40065_cov_104.30367	8392
ERR1018239_RNODE_75_length_40065_cov_104.30367	7147
ERR1018239_RNODE_75_length_40065_cov_104.30367	703
ERR1018239_RNODE_75_length_40065_cov_104.30367	7654
ERR1018239_RNODE_75_length_40065_cov_104.30367	16448
ERR1018239_RNODE_75_length_40065_cov_104.30367	6574
ERR1018239_RNODE_75_length_40065_cov_104.30367	1657
ERR1018240_RNODE_3_length_49555_cov_17.00030	84
ERR1018240_RNODE_3_length_49555_cov_17.00030	725
ERR1018240_RNODE_3_length_49555_cov_17.00030	12662
ERR1018240_RNODE_3_length_49555_cov_17.00030	355
ERR1018240_RNODE_3_length_49555_cov_17.00030	12151
ERR1018240_RNODE_3_length_49555_cov_17.00030	1517
ERR1018240_RNODE_3_length_49555_cov_17.00030	2579
ERR1018240_RNODE_3_length_49555_cov_17.00030	1083
ERR1018254_RNODE_12_length_5526_cov_13.00240	11070
ERR1018254_RNODE_12_length_5526_cov_13.00240	17067
ERR1018254_RNODE_12_length_5526_cov_13.00240	2252
ERR1018254_RNODE_12_length_5526_cov_13.00240	11953
ERR1018254_RNODE_12_length_5526_cov_13.00240	13689
ERR1018254_RNODE_12_length_5526_cov_13.00240	16401
ERR1018254_RNODE_12_length_5526_cov_13.00240	13042
ERR1018254_RNODE_12_length_5526_cov_13.00240	19042
ERR1018254_RNODE_12_length_5526_cov_13.00240	7198
ERR1018254_RNODE_12_length_5526_cov_13.00240	15166
ERR1018254_RNODE_12_length_5526_cov_13.00240	11642
ERR1018254_RNODE_12_length_5526_cov_13.00240	7244
ERR1018254_RNODE_12_length_5526_cov_13.00240	16780
ERR1018254_RNODE_12_length_5526_cov_13.00240	18627
ERR1018254_RNODE_12_length_5526_cov_13.00240	2686
ERR1018254_RNODE_12_length_5526_cov_13.00240	16825
ERR1018254_RNODE_12_length_5526_cov_13.00240	10128
ERR1018254_RNODE_12_length_5526_cov_13.00240	3371
ERR1018254_RNODE_12_length_5526_cov_13.00240	5812
ERR1018256_RNODE_5_length_4045_cov_19.00470	12251
ERR1018256_RNODE_5_length_4045_cov_19.00470	10268
ERR1018256_RNODE_5_length_4045_cov_19.00470	15288
ERR1018256_RNODE_5_length_4045_cov_19.00470	12554
ERR1018262_RNODE_5_length_64205_cov_28.98690	18732
ERR1018262_RNODE_5_length_64205_cov_28.98690	15832
ERR1018262_RNODE_5_length_64205_cov_28.98690	11877
ERR1018264_RNODE_8_length_4570_cov_299.60830	8718
ERR1018264_RNODE_8_length_4570_cov_299.60830	17688
ERR1018267_RNODE_46_length_8933_cov_65.61753	14901
ERR1018267_RNODE_46_length_8933_cov_65.61753	15458
ERR1018267_RNODE_46_length_8933_cov_65.61753	8908
ERR1018267_RNODE_46_length_8933_cov_65.61753	13390
ERR1018267_RNODE_46_length_8933_cov_65.61753	3901
ERR1018267_RNODE_46_length_8933_cov_65.61753	15019
ERR1018267_RNODE_46_length_8933_cov_65.61753	5485
ERR1018267_RNODE_46_length_8933_cov_65.61753	21061
ERR1018267_RNODE_46_length_8933_cov_65.61753	15073
ERR1018267_RNODE_46_length_8933_cov_65.61753	11800
ERR1018267_RNODE_46_length_8933_cov_65.61753	1238
ERR1018267_RNODE_46_length_8933_cov_65.61753	10976
ERR1018267_RNODE_46_length_8933_cov_65.61753	11324
ERR1018267_RNODE_46_length_8933_cov_65.61753	6820
ERR1018267_RNODE_46_length_8933_cov_65.61753	16803
ERR1018267_RNODE_46_length_8933_cov_65.61753	6614
ERR1018267_RNODE_46_length_8933_cov_65.61753	5601
ERR1018267_RNODE_46_length_8933_cov_65.61753	3411
ERR1018267_RNODE_46_length_8933_cov_65.61753	7916
ERR1018267_RNODE_46_length_8933_cov_65.61753	18970
ERR1018267_RNODE_46_length_8933_cov_65.61753	18076
ERR1018267_RNODE_46_length_8933_cov_65.61753	10805
ERR1018267_RNODE_46_length_8933_cov_65.61753	11501
ERR1018267_RNODE_46_length_8933_cov_65.61753	11445
ERR1018267_RNODE_46_length_8933_cov_65.61753	11762
ERR1018267_RNODE_46_length_8933_cov_65.61753	13481
ERR1018267_RNODE_46_length_8933_cov_65.61753	4808
ERR1018267_RNODE_46_length_8933_cov_65.61753	3965
ERR1018267_RNODE_46_length_8933_cov_65.61753	9842
ERR1018267_RNODE_46_length_8933_cov_65.61753	4751
ERR1018267_RNODE_46_length_8933_cov_65.61753	8261
ERR1018267_RNODE_46_length_8933_cov_65.61753	13430
ERR1018267_RNODE_46_length_8933_cov_65.61753	5464
ERR1018267_RNODE_46_length_8933_cov_65.61753	2369
ERR1018267_RNODE_46_length_8933_cov_65.61753	17169
ERR1018267_RNODE_46_length_8933_cov_65.61753	18232
ERR1018267_RNODE_46_length_8933_cov_65.61753	4662
ERR1018267_RNODE_46_length_8933_cov_65.61753	16377
ERR1018267_RNODE_46_length_8933_cov_65.61753	1441
ERR1018267_RNODE_46_length_8933_cov_65.61753	16565
ERR1018267_RNODE_46_length_8933_cov_65.61753	5347
ERR1018267_RNODE_46_length_8933_cov_65.61753	6648
ERR1018267_RNODE_46_length_8933_cov_65.61753	2379
ERR1018267_RNODE_46_length_8933_cov_65.61753	18966
ERR1018267_RNODE_46_length_8933_cov_65.61753	4566
ERR1018268_RNODE_7_length_45261_cov_1097.00000	8312
ERR1018268_RNODE_7_length_45261_cov_1097.00000	11244
ERR1018268_RNODE_7_length_45261_cov_1097.00000	2457
ERR1018268_RNODE_7_length_45261_cov_1097.00000	7057
ERR1018268_RNODE_7_length_45261_cov_1097.00000	15147
ERR1018268_RNODE_7_length_45261_cov_1097.00000	18442
ERR1018268_RNODE_7_length_45261_cov_1097.00000	11709
ERR1018268_RNODE_7_length_45261_cov_1097.00000	16765
ERR1018268_RNODE_7_length_45261_cov_1097.00000	11455
ERR1018268_RNODE_7_length_45261_cov_1097.00000	1141
ERR1018268_RNODE_7_length_45261_cov_1097.00000	6009
ERR1018268_RNODE_7_length_45261_cov_1097.00000	3054
ERR1018268_RNODE_7_length_45261_cov_1097.00000	12647
ERR1018268_RNODE_7_length_45261_cov_1097.00000	1430
ERR1018268_RNODE_7_length_45261_cov_1097.00000	21038
ERR1018268_RNODE_7_length_45261_cov_1097.00000	1040
ERR1018268_RNODE_7_length_45261_cov_1097.00000	8109
ERR1018268_RNODE_7_length_45261_cov_1097.00000	18037
ERR1018268_RNODE_7_length_45261_cov_1097.00000	919
ERR1018268_RNODE_7_length_45261_cov_1097.00000	248
ERR1018268_RNODE_9_length_2416_cov_44.01820	18148
ERR1018268_RNODE_9_length_2416_cov_44.01820	20204
ERR1018268_RNODE_9_length_2416_cov_44.01820	9085
